R0	Acetylcysteine in paracetamol poisoning letter comment
R151	Guidelines for the care of children and adolescents with HIV infection Medical management in HIVinfected adolescents
R152	Media for the culture of Campylobacter pylori letter
R153	Bullet injury to the esophagus detected by intestinal migration
R154	Transrectal prostate ultrasonography as a diagnostic and therapeutic aid for ejaculatory duct obstruction
R155	The AO spinal internal fixator
R156	Winning strategies to excel in dietetics see comments
R157	Brain death and organ donation a twoyear experience in ICU Westmead Hospital
R158	Cardiolipin molecular species in rat heart mitochondria are sensitive to essential fatty aciddeficient dietary lipids
R159	Future trends in transplantation in the 1990s prospects for the induction of clinical tolerance
R160	Confusing similarities between peripancreatic retroperitoneal lymphangioma and other lesions letter
R161	Finecatheter aspiration cytology and the acute abdomen letter
R162	The nature of opioid responsiveness and its implications for neuropathic pain new hypotheses derived from studies of opioid infusions
R163	Suprapubic approaches for stress incontinence in women
R164	Immunologic response to Faenia rectivirgula Micropolyspora faeni in a dairy farm family
R165	AIDS arrives in Soviet Unionofficial news
R166	Carcinoma and polyps of the gallbladder associated with PeutzJeghers syndrome
R167	Headache mental status changes and death in a 36yearold woman with lupus clinical conference
R168	Radiology of the pancreas
R169	Familial glioma occurrence within the familial cancer syndrome and systemic malformations
R170	Role of blood flow in adaptive protection of the cat gastric mucosa
R171	Evaluation of cationized rat albumin as a potential bloodbrain barrier drug transport vector
R172	Validation of PETacquired input functions for cardiac studies published erratum appears in J Nucl Med 1988 Jul2971304
R173	Treatment of haemangioendotheliomas with alpha interferon letter
R174	Synergistic action of amphotericin B and rifampin against Rhizopus species
R175	Squamous cell carcinoma of the bladder associated with intrapelvic foreign bodies
R176	Lymphoma in the mesenteric lymph node cavitation syndrome letter
R177	Rape victim advises report attack get help news
R178	Influence of growth rate on susceptibility to antimicrobial agents modification of the cell envelope and batch and continuous culture studies
R179	Who should have their cholesterol concentration measured What experts in the United Kingdom suggest
R180	Effects of methotrexate on clinical and immunological parameters in refractory rheumatoid arthritis a prospective study letter
R181	Euthanasia Conclusions of a BMA working party set up to review the associations guidance on euthanasia
R182	Postcatheterization vascular complications associated with percutaneous transluminal coronary angioplasty
R183	Evaluation of laboratory methods for the classification of oxacillinresistant and oxacillinsusceptible Staphylococcus aureus
R184	Endocytosis and shedding of the decay accelerating factor on human polymorphonuclear cells
R185	Lowered cerebral glucose utilization in amyotrophic lateral sclerosis
R186	Pancreatic structure and glucose tolerance in a longitudinal study of experimental pancreatitisinduced diabetes
R187	HTLVIrelated agent and nonHodgkin lymphomas in married couple letter
R188	Human type VII collagen cDNA cloning and chromosomal mapping of the gene
R189	Adaptation of the Panama II strain of Plasmodium falciparum to Panamanian owl monkeys
R190	Apples frogs and animal rights news
R191	Differentiation between the intensity of breathlessness and the distress it evokes in normal subjects during exercise
R192	Vertical gradient of pulmonary capillary transit times
R193	Clearance of ethylene glycol by kidneys and hemodialysis
R194	Independent and disparate evolution in nature of influenza A virus hemagglutinin and neuraminidase glycoproteins
R195	Which febrile infants younger than two weeks of age are likely to have sepsis A pilot study
R196	Clinical signs in heart failure
R197	Meclofenamate treatment of posttransplant nephrotic syndrome
R198	Exercise performance of polycythemic chronic obstructive pulmonary disease patients Effect of phlebotomies
R199	Regulation of megakaryocyte development by interleukin6
R200	Toxicology and biocompatibility considerations in the evaluation of polymeric materials for biomedical applications
R201	Endtidal concentrations of halothane and isoflurane during induction of anaesthesia in young and elderly patients
R202	Suicide in twins
R203	Longterm amphotericin B therapy for disseminated histoplasmosis in patients with the acquired immunodeficiency syndrome AIDS
R204	Systemic hypertension and the kidney in black patients
R205	Survey of attitudes regarding the use of siblings for gamete donation
R206	Electrocardiographic changes during antihypertensive therapy in the International Prospective Primary Prevention Study in Hypertension
R207	Selective upregulation of human alveolar macrophage collagenase production by lipopolysaccharide and comparison to collagenase production by fibroblasts
R208	Taurine uptake by isolated alveolar macrophages and type II cells
R209	Eicosanoid levels in CSF of premature infants with posthemorrhagic hydrocephalus
R210	Leads from the MMWR Assessing exposures of healthcare personnel to aerosols of ribavirinCalifornia
R211	A role for endothelial cell lipoxygenase in the oxidative modification of low density lipoprotein
R212	The amino acid sequence of a glutamic acidrich protein from bovine retina as deduced from the cDNA sequence
R213	Drug resistance and the selection of therapy for tuberculosis
R214	Abuse of phencyclidine PCP a laboratory experience
R215	Pharmacokinetics and pharmacodynamics of valproate analogues in rats I Spiro46undecane2carboxylic acid
R216	A new doubleangle blade for direct laryngoscopy letter
R217	Surgical treatment for infantile spasms letter comment
R218	Potential importance of the sexual transmission of nonA nonB hepatitis
R219	Granulocyte transfusion therapy in a child with chronic granulomatous disease and multiple red cell alloantibodies
R220	Cardiopulmonary resuscitation in patients with acquired immunodeficiency syndrome letter comment
R221	Attenuation of asparaginaseinduced hyperglycemia after substitution of the Erwinia carotovora for the Escherichia coli enzyme preparation
R222	Fish hook removal from vitreous and retina Case report
R223	Comparison of techniques for thallium201technetium99m parathyroid imaging
R224	A comparison of intestinal adaptation to shortterm intravenous versus intragastric diet in adult rats
R225	The Neurobehavioral Cognitive Status Examination a brief but quantitative approach to cognitive assessment
R226	Pharmacologic aspects of benzodiazepine tolerance and dependence
R227	Expression of class I and II human leukocyte antigens by thyrocytes and lymphocytic infiltration on human thyroid tumors An immunofluorescence study
R228	Treatment of severe hypertension and hypertensive crises with nifedipine
R229	Mixed venous oxygen saturation as a predictor of cardiac output letter
R230	Does systemic pretreatment with verapamil prevent acute tubular necrosis after renal transplantation
R231	Interferon for treatment letter
R232	Halothane hepatitis a case report see comments
R233	Chronic myelocytic leukemia with neartotal pulmonary microvascular obstruction by platelets
R234	Lidocaine pharmacokinetics during water immersion in normal humans
R235	Appointment and mobility of general practitioners
R236	Treatment of subretinal neovascularization associated with angioid streaks in sickle cell retinopathy Case report
R237	Simple analytic procedures for rapid microcomputerassisted cluster surveys in developing countries
R238	Cardiogenic shock in evolving myocardial infarction treatment by angioplasty and streptokinase
R239	Rotavirus serotypespecific neutralizing activity in human milk
R240	Phase II study of megestrol acetate for metastatic carcinoma of the prostate
R241	Claude Beck and cardiac resuscitation
R242	Indias medical dilemma overpopulation and underfunding
R243	Calcium attenuates epinephrines betaadrenergic effects in postoperative heart surgery patients
R244	Quantitative CT for determination of bone mineral density a review
R245	Zidovudine helps postpone HIV symptoms news
R246	Renal blood flow glomerular filtration rate and renal morphology in cyclosporineinduced acute renal failure in MunichWistar rats
R247	Subrenal capsule assay as a chemosensitivity test for primary esophageal squamous cell carcinoma
R248	Identification and characterization of a monoclonal antibody recognizing a galactosebinding domain of the toxin ricin
R249	Reducing fire hazard during ophthalmic surgery by using compressed air
R250	Bone abnormalities of the knee prevalence and significance at MR imaging
R251	A randomized trial of methylprednisolone and chlorambucil in idiopathic membranous nephropathy
R252	Protein binding what does it mean
R253	India and the United States agree on vaccine programme news
R254	The buried bumper syndrome a complication of percutaneous endoscopic gastrostomy
R255	Photosensitive epilepsies and photoconvulsive responses in Arabs
R256	Positional variations in germinal cell growth in pigmentchimeric eyes of Xenopus posterior half of the developing eye studied in genetic chimerae and in computer simulations
R257	Case records of the Massachusetts General Hospital Weekly clinicopathological exercises Case 31987 A 17yearold girl with numbness of the right leg and the recent onset of vertigo and rightsided weakness
R258	Facial pain Why does my face hurt doctor
R259	Prevention of bradycardic responses to endotracheal suctioning by prior administration of nebulized atropine
R260	Mediastinal tumour as the presenting manifestation of Wegeners granulomatosis
R261	Cutting fluid dermatitis
R262	Association of HLADR4 with a more progressive disease course in patients with rheumatoid arthritis Results of a followup study
R263	A unique phospholipase A2 in human epidermis its physiologic function and its level in certain dermatoses
R264	Leads from the MMWR La Crosse encephalitis in West Virginia
R265	The effects of vitamin K on the generation of desgammacarboxy prothrombin PIVKAII in patients with hepatocellular carcinoma
R266	Keeping up with the medical literature letter
R267	Terminology clarification letter
R268	Leiomyoma in a mullerian remnant A case report
R269	Financing health care letter comment
R270	Assessment of effect of various modes of premedication on acid aspiration risk factors in outpatient surgery
R271	Vertebral malacoplakia A case report
R272	Microinvasive carcinoma of the uterine cervix International Federation of Gynecology and Obstetrics Stage IA
R273	Mechanism of action of local anesthetics on synaptic transmission in the rat
R274	Combination of cyclosporine A and topical corticosteroid in the treatment of psoriasis
R275	Topical tretinoin therapy its use in photoaged skin
R276	Kawasakilike syndrome after treatment with mesalazine
R277	Intrathecal morphine in the management of pain following cardiac surgery A comparison with morphine iv
R278	Physiologic changes in the elderly are they clinically important in the management of hypertension
R279	Motor evoked potentials recorded from normal and spinal cordinjured rats
R280	Efficacy and safety of intravenous and oral propafenone in pediatric cardiac dysrhythmias
R281	Cooperative frozen section surgery
R282	Legless a novel mutation found in PHT11 transgenic mice
R283	Derivation and properties of plateletderived growth factorindependent rat smooth muscle cells
R284	Doseranging study of ivermectin in treatment of filariasis due to Wuchereria bancrofti letter
R285	Development of maternalfetal attachment during pregnancy
R286	One particular leviathan see comments
R287	Does desflurane modify circulatory responses to stimulation in humans
R288	Traumatic cyst
R289	Agenesis of the right lobe of the liver
R290	Are activity indices helpful in assessing active intestinal inflammation in Crohns disease
R291	The role of V beta 8 cells in disease recurrence in isografts in diabetic NOD mice
R292	Structure of the human class I histocompatibility antigen HLAA2
R293	Retinal vascular loss in idiopathic central serous chorioretinopathy with bullous retinal detachment
R294	Combination of cisplatin plus fluoropyrimidine chemotherapy effective against liver metastases from carcinoma of the anal canal
R295	Congenital optic tract syndrome
R296	Atlantoaxial subluxation in a patient with psoriatic arthritis letter
R297	Antibody to both human herpesvirus 6 and cytomegalovirus letter
R298	Abnormalities of cilia in the middle ear in chronic otitis media
R299	Biogenesis of the vitronectin receptor in human endothelial cell evidence that the vitronectin receptor and GPIIbIIIa are synthesized by a common mechanism
R300	Evaluation of posttraumatic cerebral blood flow velocities by transcranial Doppler ultrasonography
R301	Presence of papilloma virus type 11 in condyloma acuminatum of bladder in female renal transplant recipient
R302	Aortopulmonary fistula role of computed tomography
R303	Intraoperative electroneurography management of ulnar neuropathy at the elbow
R304	Mast cell numbers in rheumatoid synovial tissues Correlations with quantitative measures of lymphocytic infiltration and modulation by antiinflammatory therapy
R305	Use of recombinant human interferon gamma to enhance neutrophil chemotactic responses in Job syndrome of hyperimmunoglobulinemia E and recurrent infections
R306	Cholecystokinin induces a decrease in Ca2 current in snail neurons that appears to be mediated by protein kinase C
R307	Point mutation allelic loss and increased methylation of cHaras gene in human hepatocellular carcinoma
R308	Lymphocytic lymphoma with associated gamma heavy chain and IgMlambda paraproteins An unusual biclonal gammopathy
R309	Overview of the safety profile of the H2receptor antagonists
R310	13Ncisplatin PET to assess pharmacokinetics of intraarterial versus intravenous chemotherapy for malignant brain tumors
R311	Effective eye shielding during phototherapy see comments
R312	Invasive Aspergillus infection in chronic granulomatous disease treatment with itraconazole see comments
R313	Current perception threshold Reproducibility and comparison with nerve conduction in evaluation of carpal tunnel syndrome
R314	Chronic osteomyelitis of the hand caused by Salmonella typhimurium A case report
R315	Aeromonas hydrophila diarrhea in a longterm care setting see comments
R316	AIDS knowledge and attitudes in the black and Hispanic populations
R317	Cocaineassociated multifocal tics
R318	Immunogold silver staining in the diagnosis of herpes encephalitis letter
R319	Are voluntary hospitals caring for the poor editorial
R320	Factors affecting early unplanned readmission of elderly patients to hospital
R321	Assessment of HIV1 screening test sensitivities using serially diluted positive sera can give misleading results
R322	Reddishbrown macules with telangiectasia and pruritus Urticaria pigmentosatelangiectasia macularis eruptiva perstans TMEP variant with systemic mastocytosis
R323	Molecular analysis of maleviable deletions and duplications allows ordering of 52 DNA probes on proximal Xq
R324	Is there an ultrasonographic endoscope in your future editorial
R325	Correlation of hepatitis B virus DNA and antigens in the liver A study in chronic liver disease
R326	Carnitine an overview editorial
R327	A physical map of the Escherichia coli K12 genome
R328	Diazepam as a truth drug letter see comments
R329	Stress social support and psychological distress of family caregivers of the elderly
R330	Mucous membrane pemphigoid an elusive diagnosis
R331	Effect of hemorrhage on regional morphometric indexes of cerebral capillarity
R332	Significance of cilioretinal arteries in primary open angle glaucoma
R333	Digestion of thyroglobulin with purified thyroid lysosomes preferential release of iodoamino acids
R334	Folic acid absorption in patients infected with the human immunodeficiency virus
R335	Thrombosed dialysis grafts efficacy of intrathrombic deposition of concentrated urokinase clot maceration and angioplasty
R336	CEOs confront service cuts
R337	Evidence that multiple risk factors for coronary artery disease exist in persons with abnormal glucose tolerance
R338	Influences from laryngeal afferents on expiratory bulbospinal neurons and motoneurons
R339	Plasma atrial natriuretic factor in cirrhotic patients with ascites Effect of peritoneovenous shunt implantation see comments
R340	Biliary tract disease Is there a difference in men
R341	Effects of nifedipine on gastric acid secretion and gastrin release in man
R342	Improving medical education in therapeutics Health and Public Policy Committee American College of Physicians published erratum appears in Ann Intern Med 1988 Feb1082315
R343	Characterization of a cytosolic inhibitor of calf estrogen receptor binding to nuclei
R344	Volume papers and academic promotion editorial
R345	Spontaneous transient outward currents and Caactivated K channels in swine tracheal smooth muscle cells
R346	Nonsuture microvascular anastomosis technique letter
R347	Iotrolan versus iopamidol for cervical myelography a randomized doubleblind trial
R348	The DNA binding domain of the rat liver nuclear protein CEBP is bipartite
R349	Renal hemodynamics and pharmacokinetics of bevantolol in patients with impaired renal function
R350	Resilient adolescents whose parents have serious affective and other psychiatric disorders importance of selfunderstanding and relationships
R351	Epidermal growth factor letter comment
R352	Sixyear experience with a comprehensive approach to the treatment of recurrent childhood acute lymphoblastic leukemia ALLREZ BFM 85 A relapse study of the BFM group
R353	Metastatic basal cell carcinoma in acquired immunodeficiency syndromerelated complex
R354	A practical approach to workers compensation
R355	Rapid furcation involvement associated with a devitalizing mandibular first molar A case report
R356	Pediatric oncology model tumors of unparalleled import
R357	Rapid identification of bacterial antigen in blood cultures and cerebrospinal fluid
R358	T cell receptormediated DNA fragmentation and cell death in T cell hybridomas
R359	Primary repair vs colostomy for the treatment of penetrating colon injuries see comments
R360	Immunocytochemical localization of the 125dihydroxyvitamin D3 receptor in target cells
R361	Factors influencing medical students to choose primary care or nonprimary care specialties
R362	Infections due to respiratory syncytial virus in Canada
R363	Effect of tertatolol on glomerular hemodynamics in the normal MunichWistar rat
R364	Anesthesiaassociated depression of peripheral node lymphocyte traffic and antibody production in sheep accompanied by elevations in arachidonic acid metabolites in efferent lymph
R365	Correction of corticosteroidinduced osteoporosis by percutaneous hormone implants letter
R366	Falciparum malaria probably acquired from infected skincut letter
R367	Fibrin deposition in autochthonous Syrian hamster pancreatic adenocarcinomas induced by the chemical carcinogen Nnitrosobis2oxopropylamine
R368	Reading a neural code
R369	Squaric acid dibutylester in alopecia areata is discomfort really necessary letter
R370	Shortterm changes of laboratory values after extracorporeal shock wave lithotripsy a comparative study see comments
R371	Effectiveness of isotretinoin in preventing the appearance of basal cell carcinomas in basal cell nevus syndrome
R372	The influence of extracorporeal circulation and hemoseparation on red cell deformability and membrane proteins in coronary artery disease see comments
R373	Reply to Mogensen et al Tumor markers in ovarian cancer a comparison between immunosuppressive acidic protein and alpha 1acid glycoprotein letter
R374	Diagnostic selective balloon occlusion technique in pulmonic valve atresia and ventricular septal defect
R375	The optic nerve as the site of initial relapse in childhood acute lymphoblastic leukemia see comments
R376	The slit inferior vena cava letter
R377	A novel HLA class II molecule DR alphaDQ beta created by mismatched isotype pairing
R378	Allium vegetables and reduced risk of stomach cancer
R379	Endoscopic management of the obliterated ureteroileal anastomosis
R380	Pharmacokinetics and adverse effects of amphotericin B in infants and children
R381	Pulmonary complications in lead miners
R382	HIV1 infection and virus production in follicular dendritic cells in lymph nodes A case report with analysis of isolated follicular dendritic cells
R383	Fetal salvage with maternal total parenteral nutrition the pregnant mother as her own control
R384	Persistent reversal of tolerance to anticonvulsant effects and GABAergic subsensitivity by a single exposure to benzodiazepine antagonist during chronic benzodiazepine administration
R385	Therapeutic options in the selection of nonsteroidal antiinflammatory drugs in the treatment of osteoarthritis a review
R386	Complications of transluminal angioplasty letter
R387	Work of breathing through different sized endotracheal tubes
R388	Longterm results of mitral valve reconstruction with Carpentier techniques in 148 patients with mitral insufficiency
R389	Congenital paucity of secondary synaptic clefts CPSC syndrome in 2 adult sibs
R390	Alterations in respiratory muscle activation in the ischemic fatigued canine diaphragm
R391	Patch testing with a mixture of 2 phenolformaldehyde resins
R392	Low dose epidural morphine does not affect nonnociceptive spinal reflexes in patients with postoperative pain
R393	Major upper gastrointestinal tract bleeding Relation to the use of aspirin and other nonnarcotic analgesics
R394	Educational programs in US medical schools
R395	Immediate balloon inflation during ventricular fibrillation complicating coronary angioplastyan alternative technique to angioplasty system withdrawal case reports and review
R396	The history of nitrite in human nutrition a contribution from German cookery books
R397	Screening for asymptomatic bacteriuria in pregnancy A decision and cost analysis see comments
R398	Smokeless tobacco use in the United StatesBehavioral Risk Factor Surveillance System 1986 published erratum appears in MMWR 1987 Jun 193623372
R399	Comparison of selected pulse frequencies from two different electrical stimulators on blood flow in healthy subjects
R400	Ion channels and insulin secretion
R401	The polymerase chain reaction amplifying our options
R402	The William Allan memorial award address Xchromosome inactivation and the location and expression of Xlinked genes
R403	Medical students attitudes toward AIDS and homosexual patients
R404	Charity care takes many forms news
R405	Absorbable staples in abdominal hysterectomy
R406	Antenatal diagnosis of partial agenesis of the corpus callosum a benign cause of ventriculomegaly
R407	Enhanced malignant conversion of benign mouse skin tumors by cisplatin
R408	Significant improvement in aerobic power letter
R409	Changes in blood urea and glucose and their association with energycontaining nutrients in men on hypocaloric diets during Ramadan fasting
R410	Antigenic phenotype of the lymphocytic component of medullary carcinoma of the breast
R411	Diagnosis formulation by residents and physicians at different levels of experience
R412	Heparin deep venous thrombosis and trauma patients
R413	Single session treatment for bleeding hemorrhoids
