S0	Inflammatory pseudotumour of spleen
S40	Cord transferrin and ferritin values in newborn infants at risk for prenatal uteroplacental insufficiency and chronic hypoxia
S41	The management of malignant strictures of the bile duct
S42	Family practice patients perception of symptoms
S43	Pimper pimped letter comment
S44	New sleep disorder letter
S45	Leukocyte migration in synovial tissue Leukocyte distribution orientation and migratory pattern after immune complex deposition in rabbit knee joints
S46	Rhinoplasty a humbling experience
S47	Low molecular weight heparins and hypoaldosteronism
S48	Detection of antiCD4 autoantibodies in the sera of HIVinfected patients using recombinant soluble CD4 molecules
S49	The efficacy and clinical impact of brain imaging in neurologically symptomatic AIDS patients a prospective CTMRI study
S50	Gilles de la Tourettes syndrome in monozygotic twins letter
S51	In vitro fertilization fertilization failure due to toxic catheters
S52	Handheld myometry reference values
S53	A new rigid bronchoscope for laser fiber application
S54	Perforation of the terminal ileum with cytomegalovirus vasculitis and Kaposis sarcoma in a patient with acquired immunodeficiency syndrome
S55	Lateral decompression of a pathological disc in the treatment of lumbar pain and sciatica
S56	Bacterial colonization of intravascular catheters and anergy to recall skin antigens
S57	Percutaneous dilation of ureteral strictures in renal transplant patients
S58	Changes in ventilatory muscle function with negative pressure ventilation in patients with severe COPD
S59	Disparate urinary catecholamine patterns in secondary hypertension due to unique sequential development of pheochromocytoma and neuroblastoma
S60	Precise insertion of antibiotic resistance determinants into Tn21like transposons nucleotide sequence of the OXA1 betalactamase gene
S61	Human fetal hepatocytes respond to inflammatory mediators and excrete bile
S62	AIDS and traditional health beliefs and practices of black women see comments
S63	Treatment of severe peptic esophageal stricture with RouxenY partial gastrectomy vagotomy and endoscopic dilation A followup study see comments
S64	From the Centers for Disease Control Chronic disease reports deaths from colorectal cancerUnited States 1986
S65	The efficacy of presacral neurectomy for the relief of midline dysmenorrhea
S66	Tracheoesophageal anastomosis for intractable aspiration pneumonia
S67	Cartilage proteoglycan depletion in acute and chronic antigeninduced arthritis
S68	Qualifications of the provider
S69	Direct stimulation of enzyme secretion from rat exocrine pancreas by neurotensin and its naturally occurring fragments
S70	Inguinal herniation justifies sigmoidoscopy
S71	Effectiveness of penicillin G benzathine therapy for primary and secondary syphilis in HIV infection letter
S72	The tooth of the dog that bit him
S73	Drowning mortality in Los Angeles County letter comment
S74	Bone marrow in HIV infection A comparison of fluorescent staining and cultures in the detection of mycobacteria
S75	Alternative approaches to receiver operating characteristic analyses editorial
S76	A randomized trial of chemotherapy followed by pelvic radiation therapy in stage IIIB carcinoma of the cervix
S77	Capsular polysaccharide of Haemophilus influenzae type b Hib PS is a mitogen for murine B cells letter comment
S78	Adult foregut duplication
S79	Human sperm selection by glass wool filtration and twolayer discontinuous Percoll gradient centrifugation
S80	Intracellular ion content of skeletal muscle measured by instrumental neutron activation analysis
S81	Muscle atrophy in rheumatoid arthritis
S82	Intraoperative collapse or death related to the use of acrylic cement in hip surgery see comments
S83	Visualization of patent foramen ovale by transesophageal colorcoded Doppler echocardiography
S84	Selfevaluation for nursing students
S85	Effects of the calcium antagonist nilvadipine on focal cerebral ischemia in spontaneously hypertensive rats
S86	Schistosomiasis vaccine letter
S87	The relation between resource use and inhospital mortality for patients with acquired immunodeficiency syndromerelated Pneumocystis carinii pneumonia
S88	Shortterm primary culture of epithelial cells from human colon editorial
S89	Endoureteropyelotomy percutaneous treatment of ureteropelvic junction obstruction
S90	Sleep studies in benign epilepsy of childhood with rolandic spikes I Sleep pathology
S91	Metabolizable energy in humans in two diets containing different sources of dietary fiber Calculations and analysis
S92	Pneumonia during pregnancy has modern technology improved maternal and fetal outcome
S93	Primary ovarian transitional cell carcinoma Diagnostic and prognostic considerations comment
S94	Antibiotic prophylaxis in acute nonperforated appendicitis The Danish Multicenter Study Group III
S95	Effects of acidosis on ventricular muscle from adult and neonatal rats
S96	The effect of neutrophil depletion on reperfusion arrhythmias during intracoronary thrombolysis using the leukocyte removal filter
S97	Standards for halothanecaffeine contracture test editorial
S98	Pseudopneumothorax a migratory mirage letter
S99	Pharmacokinetic properties of the antiglucocorticoid and antiprogesterone steroid RU 486 in man
S100	Primary mesenteric liposarcoma
S101	The perurethral technique for ultrasound directed follicle aspiration in an invitro fertilization and embryo transfer programme a report of 636 patient cycles
S102	Human Tcell lymphotropic virus type III HTLVIII infection how it can affect you your patients and your anesthesia practice
S103	Mechanism of mitral valve area increase by in vitro single and double balloon mitral valvotomy
S104	Trauma score versus revised trauma score in TRISS to predict outcome in children with blunt trauma
S105	How useful are combinations of blood tests in rheumatic panels in diagnosis of rheumatic diseases
S106	Elevated mononuclear leukocyte phosphodiesterase in allergic dogs with and without airway hyperresponsiveness
S107	Bleeding time prolongation and bleeding during infusion of recombinant tissuetype plasminogen activator in dogs potentiation by aspirin and reversal with aprotinin
S108	Detection of B and Tcells in paraffinembedded tissue sections Diagnostic utility of commercially obtained 4KB5 and UCHL1
S109	Is behavioral modification a sufficient criterion of the effectiveness of decision analysis letter
S110	The colour centre in the cerebral cortex of man
S111	Immunologic studies in identical twins concordant for juvenile rheumatoid arthritis but discordant for monoclonal gammopathy and amyloidosis
S112	Dermal flaps to reconstruct the vagina letter
S113	Antibodies to ADPATP carrieran autoantigen in myocarditis and dilated cardiomyopathyimpair cardiac function
S114	BAL in asbestosis letter
S115	Intraduct enterokinase is lethal in rats with experimental bilesalt pancreatitis
S116	The asymptomatic child a long time after the Mustard operation for transposition of the great arteries
S117	Current status of functional lower extremity surgery in adult spastic patients
S118	Hydrocephalus and cavernoma of the cauda equina
S119	Inadvertent dislodgement of nasoenteral feeding tubes incidence and prevention
S120	Communicating with patients who have psychiatric problems
S121	Early vascular changes in rabbit subchondral bone after repetitive impulsive loading
S122	Traumatic diaphragmatic hernia and intestinal obstruction due to penetrating trunk wounds
S123	Low expression of lymphocyte functionassociated antigen LFA1 and LFA3 adhesion molecules is a common trait in Burkitts lymphoma associated with and not associated with EpsteinBarr virus
S124	Adrenergic receptors and sensitization of adenylyl cyclase in acute myocardial ischemia
S125	Serum concentrations of insulinlike growth factor IGF1 IGF2 and unsaturated somatomedin carrier proteins in children with chronic renal failure
S126	ErdheimChester disease A report of three cases
S127	The case of the gray optic disc
S128	Psych care and malpractice analyze the risks
S129	Bilateral fractures of the tibia a severe injury associated with multiple trauma
S130	Classification of epilepsies and epileptic syndromes in two different samples of patients
S131	Acute parkinsonism associated with flurbibrofen
S132	Bilateral occlusion of the trunk of the middle cerebral artery Results of an international randomized trial The ECIC Bypass Study Group
S133	Progress in the classification of severe combined immunodeficiency letter
S134	Coronary excimer laser angioplasty reduced complications and indium111 platelet accumulation compared with thermal laser angioplasty
S135	CO2welded venous anastomosis enhancement of weld strength with heterologous fibrin glue
S136	Segregation of functionally distinct axons in the monkeys optic tract
S137	Hormone replacement therapy and survival after surgery for ovarian cancer see comments
S138	Organic chemistry New routes to natural products news
S139	Cardiac lymphoma in a patient with AIDS
S140	Risks of radiosurgery letter
S141	Medical management of AIDS
S142	Hepatocellular carcinoma comparison of clinical features among ethnic groups in an area of low prevalence
S143	Successful vascular reconstruction after inadvertent femoral artery stripping
S144	Occupational disease statistics In perspective editorial
S145	Possible deleterious effects of sound or vibratory fetal stimuli letter
S146	Histopathologic study of ocular changes in a syndrome of multiple congenital anomalies
S147	The hyperimmunoglobulinaemia E and recurrent infections syndrome in an adult published erratum appears in Thorax 1990 Dec4512984 see comments
S148	Sample size considerations in vaccine trials
S149	Ultrastructural changes in renal tubules associated with glomerular bleeding
S150	Geotrichosis who is susceptible letter
S151	Water treatment of hydrotherapy exercise pools
S152	Multiple pregnancy and assisted reproduction letter
S153	Followup evaluation of prenatally recognized vesicoureteric reflux
S154	Understanding the molecular basis of coeliac disease
S155	General practitioners responsibilities letter
S156	Inhibition of endogenous superoxide dismutase with diethyldithiocarbamate in acute island skin flaps
S157	Motion artifact reduction in MR imaging of the abdomen gradient moment nulling versus respiratorysorted phase encoding
S158	Management of difficult basilar artery aneurysms letter comment
S159	Quantitative dualenergy radiographic absorptiometry of the lumbar spine in vivo comparison with dualphoton absorptiometry
S160	Spinal cord necrosis and paraplegia as complications of the intraaortic balloon
S161	A simple classification system for mammographic reporting
S162	Meningococcal endophthalmitis without concomitant septicemia or meningitis
S163	Medical therapy for chronic congestive heart failure see comments
S164	Some long term effects of smoking on the haemostatic system a report from the Caerphilly and Speedwell Collaborative Surveys
S165	Cochlear nerve injuries caused by cerebellopontine angle manipulations An electrophysiological and morphological study in dogs
S166	Ascorbic acid and ferritin catabolism
S167	Taxable volume fell during first half
S168	The Tri Council for Nursing 15 years of fruitful cooperation
S169	New approach to disturbances in the plasma sodium concentration
S170	Effect of opposite changes in cardiac output and arterial PO2 on the relationship between mixed venous PO2 and oxygen transport see comments
S171	Theophylline levels after single daily and divided dosing of a onceaday theophylline preparation in asthmatic children
S172	Keeping up with orthopedic epidemics letter
S173	Type II hyperlipoproteinemia hyperapobetalipoproteinemia and hyperalphalipoproteinemia following renal transplantation implications for atherogenic risk
S174	Wegeners autoantigen decoded letter
S175	Calcium and vitamin D in bone metabolism analyses of their effects with a shortterm in vivo bone model in rats
S176	Computer simulation of respiratory impedance and flow transfer functions during high frequency oscillations
S177	Mercury poisoning letter
S178	Brief intervention by general practitioners against smoking letter
S179	Higher cortical disorders an unusual presentation of an arteriovenous malformation
S180	On the mechanisms underlying 1methyl4phenyl1236tetrahydropyridine neurotoxicity II Susceptibility among mammalian species correlates with the toxins metabolic patterns in brain microvessels and liver
S181	Ossification of posterior longitudinal ligament of the cervical spine in nonJapanese Asians
S182	Elderly patients with congestive heart failure under prepaid care
S183	Psoriasis and the doctor fish letter
S184	Hepatitis C virus RNA in saliva letter see comments
S185	National variations in medical practice editorial
S186	Acute arsenic ingestion
S187	Morphologic changes in the fine needle aspiration cytology of renal transplants during virus infection as detected by DNA in situ hybridization
S188	Myoelectrical activity and intraluminal flow in human sigmoid colon
S189	Primary mucinous carcinoma
S190	Techniques and results in the management of anal and perianal Crohns disease
S191	Crypt cell proliferation and HLADR expression in pelvic ileal pouches
S192	Intrachiasmal hemorrhage a cause of delayed posttraumatic blindness
S193	Immunization against AIDS in humans letter
S194	Sequencespecific DNA binding by a short peptide dimer
S195	Laparoscopic presacral neurectomy Results of the first 25 cases
S196	Panic attacks buspirone and serotonin function letter comment see comments
S197	Neuroscience your next center of excellence
S198	Central serous chorioretinopathy and white subretinal exudation during pregnancy
S199	Daytoday variation of 24hour intragastric acidity
S200	Salicylic acid causes a diuresis and natriuresis in normal and common bileductligated cirrhotic miniature swine
S201	The national AIDS strategy is a start nothing more letter comment see comments
S202	Minimalmild endometriosis and infertility letter comment
S203	Platelet activation by plasma lipoproteins
S204	Cytoplasmic pH determines K conductance in fused renal epithelial cells
S205	Posterior dislocation of the shoulder associated with obstetric brachial plexus palsy
S206	Alzheimers disease A psychiatrists perspective
S207	Cytomegalovirus infections after allogeneic bone marrow transplantation
S208	Green beliefs letter
S209	Insulinlike growth factor1 IGF1 in mice reduces weight loss during starvation
S210	5HT2 receptor antagonists and migraine therapy
S211	Failure of propranolol to inhibit the epinephrineinduced enhancement of responses to sympathetic nerve stimulation in the rat mesenteric vascular bed
S212	Susceptibility to cumulative and acute irritant dermatitis An experimental approach in human volunteers
S213	Postobstruction pulmonary edema
S214	Physician management key to making DRGs pay
S215	The clinical value of pharmacologic bronchoprovocation challenge
S216	Massive hemoperitoneum from transhepatic perforation of the gallbladder a rare complication of cholelithiasis
S217	The genetics of deafness
S218	Routine ultrasound screening in management of abdominal aortic aneurysm
S219	Use of bronchoscopic CO2 laser in palliation of obstruction tracheobronchial malignancy
S220	How do bacteria cause chronic arthritis editorial
S221	Molecular basis of inherited disorders of collagen biosynthesis implications for prenatal diagnosis
S222	Fourth quarter HASMonitrend II data from AHA
S223	Overweight assessment and management issues
S224	Helicobacter pylori infection in Meckels diverticula letter comment
S225	Surgical endoscopy
S226	Mucocutaneous manifestations of the hemolyticuremic syndrome
S227	Deoxycholic acid and the pathogenesis of gall stones
S228	Who should pay for cancer prevention and detection
S229	Fecal lipid excretion in pancreatic insufficiency letter comment
S230	Uveal melanoma with opaque media absence of definitive diagnosis before enucleation
S231	Legal abortion mortality in the United States letter
S232	Analysis of a mass colorectal cancer screening program for costeffectiveness
S233	Comparative evaluation of enoxacin ofloxacin ampicillin and chloramphenicol for treatment of experimental Haemophilus influenzae pneumonia
S234	Unesterified cholesterol in Schnyders corneal crystalline dystrophy
S235	Altered cellular responses to chemical carcinogens in aged animals
S236	Anthropology A tale of three cities news
S237	Confidential unit exclusion CUE is just another test letter
S238	Mechanisms of granule enzyme secretion from permeabilized guinea pig eosinophils Dependence on Ca2 and guanine nucleotides
S239	Spontaneous contractions and some electrophysiologic properties of circular muscle from normal sigmoid colon and ulcerative colitis
S240	Captopril in patients with type II diabetes and renal insufficiency systemic and renal hemodynamic alterations
S241	Comparison of human menopausal gonadotropin administered once and twice daily in an in vitro fertilization and embryo transfer program
S242	Stunned left ventricular myocardium after exercise treadmill testing in coronary artery disease
S243	Hip fracture incidence among the old and very old a populationbased study of 745435 cases
S244	Analysis of burn injury by digital simulation
S245	NIH readies plan for cost containment news
S246	Distribution of bronchial nonspecific reactivity in the general population
S247	Prophylaxis of venous thromboembolic disease following hip and knee surgery letter
S248	Contact dermatitis to Loctite 221 and 270
S249	Mixed falciparum and vivax malaria in Canadian travellers letter published erratum appears in Can Med Assoc J 1989 Oct 11417663
S250	Efficacy of corticosteroids in suppression of intimal hyperplasia a possible antiangiogenic effect letter comment
S251	Adverse effects of preoperative hepatic artery chemoembolization for resectable hepatocellular carcinoma a retrospective comparison of 138 liver resections
S252	Comparison of nicorandil and atenolol in stable angina pectoris
S253	Does wearing two pairs of gloves protect against skin contamination letter
S254	Colon and anorectal cancer after pelvic irradiation
S255	Human growth hormone the Fountain of Youth
S256	Pterygium inversum unguis
S257	Oral cancer in India an epidemiologic and clinical review
S258	Mitral valve prolapse and regurgitation letter
S259	Cell division promoting activity of naturally occurring dehydrodiconiferyl glucosides do cell wall components control cell division
S260	Third Annual Nursing Administration Recognition Program Second PlaceHangout visits
S261	Decreased neonatal serum bilirubin with plain agar a metaanalysis
S262	Hired help a physicians experiences in a forprofit staffmodel HMO letter
S263	A modification of operative laparoscopic technique to permit removal of an ectopic pregnancy without morcellation letter comment
S264	Experience with cyclophosphamide in multiple sclerosis the cons
S265	Stunned myocardium in hypertrophic cardiomyopathy with normal coronary arteries
S266	Pregnancy outcome in medically complicated and uncomplicated patients aged 40 years or older
S267	Accutane letter
S268	Graphic representations of effect estimates an example from a metaanalytic review letter comment
S269	Preliminary results of the European Multicenter Trial of UW and EuroCollins solutions in kidney transplantation The Study Group
S270	Marked eosinophilia in a patient with primary sclerosing cholangitis letter
S271	Accelerated exocytosis and H2O2 generation in isolated thyroid follicles enhance protein iodination
S272	Blunt urethral injury results of initial management
S273	Gemfibrozilinduced impotence letter comment
S274	Early detection of congenital cardiovascular malformations in infancy
S275	UVirradiated epidermal cells produce a specific inhibitor of interleukin 1 activity
S276	Sunlight sunburn and sunscreens Preventing and remedying problems from too much fun in the sun
S277	The prevalence and treatment needs of subjects with temporomandibular disorders
S278	Why tuberculosis is not prevented
S279	Use of extracorporeal membrane oxygenation in the treatment of respiratory syncytial virus bronchiolitis the national experience 1983 to 1988 see comments
S280	HTLVIII is now HIV letter
S281	Evaluation of the continuous infusion of etoposide plus cisplatin in metastatic breast cancer A collaborative North Central Cancer Treatment GroupMayo Clinic phase II study
S282	Lateral gaze palsy due to giant aneurysm of the posterior fossa letter
S283	Diaphragm genioglossus and triangularis sterni responses to poikilocapnic hypoxia
S284	Prolongation of cardiac allograft survival by pretransplant administration of cyclosporine and donorspecific dendritic cells
S285	Is serological evidence of infection with syphilis a contraindication to kidney donation Case report and review of the literature
S286	Succession planning key to dealing with aging MDs
S287	Platelet activation and aggregation during cardiopulmonary bypass
S288	What did our ancestors eat see comments
S289	Highpermeability pulmonary edema nursing assessment diagnosis and interventions
S290	Surgical treatment of psoriasis a review including a case report of dermabrasion of hypertrophic psoriatic plaques
S291	Kinetics of pulmonary leukocyte sequestration in man during hemodialysis with different membranetypes
S292	In vivo induction of proteins during therapy of hairy cell leukemia with alphainterferon
S293	Are calculated globulin measurements useful in screening for paraproteinaemia letter
S294	Effects of EAP followup on prevention of relapse among substance abuse clients
S295	Total replacement for posttraumatic arthritis of the elbow
S296	Protective restorative and therapeutic properties of recombinant human IL1 in rodent models
S297	The teenage coeliac letter comment
S298	Immunosuppression by cyclosporine in vivo need not block effector Tcell function in mice
S299	Fluoxetine and elevated plasma levels of tricyclic antidepressants letter comment
S300	The problematic prospects for prevention in the classroom should alcohol education programs be expected to reduce drinking by youth
S301	Sudden death and paroxysmal autonomic dysfunction in stiffman syndrome
S302	Small cell carcinoma of the pancreas and biliary tract
S303	Dilated cardiomyopathy and myocarditis natural history etiology clinical manifestations and management
S304	District cancer physicians letter
S305	Human recombinant IL3 stimulates B cell differentiation
S306	Nonrandomised controls and assessment of survival in liver transplantation editorial
S307	Endometriosis treatment with gonadotropinreleasing hormone agonist Buserelin
S308	Dense metaphyseal bands and growth arrest associated with isotretinoin therapy
S309	Pituitary gland MR imaging of physiologic hypertrophy in adolescence see comments
S310	ANP and PRA system response to phlebotomy letter
S311	Predictors of outcome in cyclosporinetreated recipients of second renal transplants
S312	OK surgical technology see comments
S313	Behcets disease
S314	Cardiovascular adaptations in Andean natives after 6 wk of exposure to sea level
S315	Obsessivecompulsive disorder a doubleblind placebocontrolled trial of clomipramine in 27 patients
S316	The association of patients socioeconomic characteristics with the length of hospital stay and hospital charges within diagnosisrelated groups
S317	Analysis of the traction forces in different skull traction systems
S318	Peripheral dopamine receptors
S319	Effects of nifedipine on intracranial pressure in neurosurgical patients with arterial hypertension
S320	Use of a radon mould technique for skin cancer results from the Peter MacCallum Cancer Institute 19751984
S321	Peripheral action of spironolactone improvement in arterial elasticity
S322	Intracoronary stents will they fulfill their promise as an adjunct to angioplasty published erratum appears in J Am Coll Cardiol 1989 Jul141264
S323	Barretts esophagus in children and young adults Frequent association with mental retardation
S324	The relationship of antibody levels to the clinical spectrum of human neurocysticercosis
S325	Project Orbis
S326	Temporal muscle blood flow in chronic tensiontype headache
S327	Peptic ulcer disease in the pediatric population
S328	Rhinovirus infections in Tecumseh Michigan frequency of illness and number of serotypes
S329	Coronary angioplasty in a patient with dextrocardia see comments
S330	Changes in plasma free fatty acids and glycerols during prolonged exercise in trained and hypertensive persons taking propranolol and pindolol
S331	Renal transplantation for children another view see comments
S332	Permeation of nickel through human skin in vitroeffect of vehicles
S333	Survival after groin dissection for malignant melanoma
S334	Molecular neurobiology Separating receptor subtypes from their shadows news
S335	Outcome of untreated vs treated PKU pregnancies letter
S336	High potassium concentration improves the rate of acrosome reaction in human spermatozoa
S337	The prognostic value of cellular and serologic markers in infection with human immunodeficiency virus type 1 see comments
S338	Early identification of patients at high risk of severe cytomegalovirus disease after renal transplantation using the immediate early antigenemia assay
S339	Cortisol and loss of malaria immunity in human pregnancy
S340	Capital costs resurrect healthplanning debate
S341	Familial hemiplegic migraine a new case
S342	19Hydroxylation and aromatization of androgens in the developing rat brain
S343	The Kirschner wire as a readily available tunneling device for the placement of subcutaneous intraspinal narcotic delivery systems letter
S344	The effect of somatostatin analogue SMS 201995 on pancreatic blood flow
S345	Detergent disruption of bacterial inner membranes and recovery of protein translocation activity
S346	Poliovirus vaccine policy Another perspective editorial see comments
S347	Treatment of Huntingtons disease with clonazepam letter
S348	Malignant biliary obstruction percutaneous use of selfexpandable stents see comments
S349	Rapid spontaneous disappearance of an acute extradural hematoma case report
S350	Elderly wards and their legal guardians analysis of county probate records in Ohio and Washington
S351	Combined thromboxane A2 synthetase inhibition and receptor blockade are effective in preventing spontaneous and epinephrineinduced canine coronary cyclic flow variations
S352	Longterm followup after sustained monomorphic ventricular tachycardia Causes pump failure and empiric antiarrhythmic therapy that modify survival
S353	Weight and age at menarche
S354	Extracranial metastatic glioblastoma appearance on thallium201chloridetechnetium99mHMPAO SPECT images
S355	ACCP guidelines for an expert witness letter
S356	Cardiorespiratory and neurohormonal response to incremental maximal exercise in patients with denervated transplanted hearts
S357	Osteoporosis letter
S358	Molecular genetic basis for the antiidiotypic antibody response associated with successful renal allograft survival in humans
S359	A multidisciplinary program to improve the teaching skills of incoming housestaff
S360	Massive haemorrhagic necrosis of the liver after liver transplantation
S361	Reduced portal hypertension by mechanical increase in liver portal blood flow letter comment
S362	Dysfunctions in public psychiatric bureaucracies
S363	Intraoperative reinflation of ruptured cystic tumors with a balloon catheter letter
S364	Effect of dietary ascorbic acid intake on tissue vitamin C in mice
S365	Is hepatic artery thrombosis after liver transplantation really a surgical complication
S366	Beta 2microglobulin amyloidosis in a patient treated exclusively by continuous ambulatory peritoneal dialysis
S367	Cruciate reconstruction using freeze dried anterior cruciate ligament allograft and a ligament augmentation device LAD An experimental study in a goat model
S368	The role of tympanocentesis in the management of infants with sepsis
S369	Evaluation of a simple method for measuring blood cholesterol levels using nonlaboratory observers
S370	Determination of normal transverse mediastinal width and mediastinalwidth to chestwidth MC ratio in control subjects implications for subjects with aortic or brachiocephalic arterial injury
S371	A longterm prospective clinical study of oral complications during conventional chemotherapy for acute leukemia
S372	Ethnic variation and maternal risk characteristics among blacksMassachusetts 1987 and 1988
S373	The transcriptional regulator LevR of Bacillus subtilis has domains homologous to both sigma 54 and phosphotransferase systemdependent regulators
S374	A hospitalbased study of acute viral infections of the respiratory tract in Thai children with emphasis on laboratory diagnosis
S375	Smokeless tobacco use and oral epithelial dysplasia
S376	Changes in abundance or structure of the per gene product can alter periodicity of the Drosophila clock
S377	arcA dye a global regulatory gene in Escherichia coli mediating repression of enzymes in aerobic pathways
S378	Biopsy assessment of donor hearts prior to and during transplantation
S379	Group A betahaemolytic Streptococcus causing disseminated intravascular coagulation and maternal death letter
S380	Performance appraisal systems in rural western hospitals
S381	The diagnostic and prognostic value of the treadmill exercise test in the evaluation of chest pain in patients with recent myocardial infarction and in asymptomatic individuals
S382	Neoplasms of terminally differentiated B lymphocytes
S383	Endoscopic sclerotherapy versus percutaneous transhepatic obliteration of varices a conceptual approach editorial
S384	Recombinant betaserineinterferon in hairy cell leukemia compared prospectively with results with recombinant alphainterferon
S385	Histamine is involved in ethanolinduced jejunal microvascular injury in rabbits
S386	Chemical burns A tenyear experience
S387	Polycystic ovaries in childhood editorial
S388	Monoclonal antibodies to murine CD3 epsilon define distinct epitopes one of which may interact with CD4 during T cell activation
S389	Degradation of porcine dermal connective tissue by collagenase and hyaluronidase
S390	Treatment of infected nonunions and segmental defects of the tibia with staged microvascular muscle transplantation and bonegrafting
S391	Effect on the myocardial energy metabolism of angiotensinconverting enzyme inhibition in chronic heart failure
S392	Serum 3 alphaandrostanediol glucuronide measurements in sexually mature women with congenital adrenal hyperplasia during therapy
S393	Parkinsons disease and dementia letter
S394	Clozapine and norclozapine plasma concentrations and clinical response of treatmentrefractory schizophrenic patients
S395	An improved method of aqueous paracentesis letter
S396	Postextrasystolic potentiation worsens fast filling of the hypertrophied left ventricle in aortic stenosis and hypertrophic cardiomyopathy
S397	Liver transplantation clinical studies
S398	Histiocytoma cutis a tumour of dermal dendrocytes dermal dendrocytoma
S399	Prospective payment for medical rehabilitation the DHHS report to Congress
S400	Aspirin and other antiplatelet agents in the secondary and primary prevention of cardiovascular disease
S401	Remission induction in refractory Crohns disease using a high calorie whole diet
S402	The clinical spectrum of granulomatous prostatitis a report of 200 cases
S403	Unusual childhood uveitis in Tanzania letter
S404	Intestinal malabsorption in cystic fibrosis
S405	Glomerular disease in hypercholesterolemic guinea pigs a pathogenetic study
S406	Interpleural analgesia improves pulmonary function after cholecystectomy
S407	Altered cellmediated immunity to group A haemolytic streptococcal antigens in chronic plaque psoriasis
S408	Identification of the human U7 snRNP as one of several factors involved in the 3 end maturation of histone premessenger RNAs
S409	Prone versus supine thallium myocardial SPECT a method to decrease artifactual inferior wall defects see comments
S410	Relationship between cardiac output and the endtidal carbon dioxide tension
S411	Antenatal spontaneous perforation of the extrahepatic biliary tree
S412	Highdose corticosteroids in patients with the adult respiratory distress syndrome
S413	Lack of evidence of prolonged human immunodeficiency virus infection before antibody seroconversion
S414	Human serum amyloid A Three hepatic mRNAs and the corresponding proteins in one person
S415	Radiological safety gamma camera flood sources
S416	Why doctors must grapple with health economics editorial
S417	Renal scarring secondary to vesicoureteric reflux Critical assessment and new grading
S418	Comparison of three inducement techniques to improve compliance in a health survey conducted by telephone
S419	A case of septic cavernous sinus thrombosis with sequential dynamic angiographic changes A case report
S420	Conquering fears and phobias
S421	Contrasting effects of lovastatin and cholestyramine on lowdensity lipoprotein cholesterol and 24hour urinary mevalonate excretion in patients with heterozygous familial hypercholesterolemia
S422	Observer variability in histopathological reporting of transitional cell carcinoma and epithelial dysplasia in bladders
S423	Hepatitis after chronic abuse of senna letter
S424	Congenital myopathy with type II muscle fiber hypoplasia see comments
S425	Allelic diversity is generated by intraexon sequence exchange at the DRB1 locus of primates
